num,prov,poly_num,X,Y,Path
13008,NB,1,8151467.26571429,1352239.03714286,1684
13008,NB,1,8150603.50571429,1357161.34285714,1685
13008,NB,1,8144794.22,1360090.46285714,1686
13008,NB,1,8131237.38571429,1373912.62857143,1687
13008,NB,1,8125699.02857143,1377677.26571429,1688
13008,NB,1,8122043.46285714,1377326.39142857,1689
13008,NB,1,8120569.22571429,1375756.30857143,1690
13008,NB,1,8118333.94,1376975.00857143,1691
13008,NB,1,8115207.87142857,1377039.93714286,1692
13008,NB,1,8115102.64,1373198.45428571,1693
13008,NB,1,8116147.95714286,1372053.30571429,1694
13008,NB,1,8114598.55714286,1370760.90857143,1695
13008,NB,1,8115008.52,1369577.39142857,1696
13008,NB,1,8113350.65428571,1368308.96571429,1697
13008,NB,1,8109686.47714286,1369954.98285714,1698
13008,NB,1,8107549.45142857,1370055.23142857,1699
13008,NB,1,8107136.47714286,1372034.17714286,1700
13008,NB,1,8104338.19714286,1372826.66285714,1701
13008,NB,1,8102213.12,1375947.04857143,1702
13008,NB,1,8099013.66,1377641.72857143,1703
13008,NB,1,8097383.63714286,1379997.23142857,1704
13008,NB,1,8096231.32,1380163.42571429,1705
13008,NB,1,8096077.84,1381389.51142857,1706
13008,NB,1,8096847.40285714,1381393.83428571,1707
13008,NB,1,8097533.42857143,1383101.02285714,1708
13008,NB,1,8096740.91428571,1385830.8,1709
13008,NB,1,8098008.94,1388569.38285714,1710
13008,NB,1,8097687.52857143,1390083.96857143,1711
13008,NB,1,8096718.9,1390638.72857143,1712
13008,NB,1,8097306.60857143,1392351.21142857,1713
13008,NB,1,8092301.73428571,1395821.46,1714
13008,NB,1,8091232.24,1395738.37714286,1715
13008,NB,1,8089195.57142857,1399090.63714286,1716
13008,NB,1,8086350.48,1401614.45714286,1717
13008,NB,1,8088757.22857143,1403267.24571429,1718
13008,NB,1,8088492.66,1404763.68571429,1719
13008,NB,1,8089903.16857143,1404205.50857143,1720
13008,NB,1,8089399.88,1405361.98571429,1721
13008,NB,1,8092274.10857143,1405433.24571429,1722
13008,NB,1,8089767.16857143,1407685.14,1723
13008,NB,1,8089900.11142857,1410359.81142857,1724
13008,NB,1,8088508.72857143,1412066.71714286,1725
13008,NB,1,8088807.69714286,1412780.49714286,1726
13008,NB,1,8084944.13142857,1415005.74,1727
13008,NB,1,8082384.78,1413609.00571429,1728
13008,NB,1,8083009.77428571,1413189.21142857,1729
13008,NB,1,8082583.82857143,1411902.55428571,1730
13008,NB,1,8076586.92,1410979.22285714,1731
13008,NB,1,8078879.33428571,1426764.74571429,1732
24037,QC,1,7628230.42,1237581.62,1733
24037,QC,1,7631881.27428571,1241835.45142857,1734
24037,QC,1,7633576.12285714,1241344.78571429,1735
24037,QC,1,7633362.13714286,1238689.23714286,1736
24037,QC,1,7637291.0,1238726.12571429,1737
24037,QC,1,7635758.0,1235888.37428571,1738
24037,QC,1,7629977.5,1233320.25142857,1739
24037,QC,1,7630583.26857143,1238086.48285714,1740
24037,QC,1,7629626.43714286,1238812.27714286,1741
24037,QC,1,7628230.42,1237581.62,1742
24059,QC,1,7753293.94857143,1436916.72857143,1743
24059,QC,1,7758146.65428571,1442009.08,1744
24059,QC,1,7760596.38857143,1440801.84285714,1745
24059,QC,1,7764101.41428571,1442693.13428571,1746
24059,QC,1,7763478.5,1437548.25142857,1747
24059,QC,1,7761417.32285714,1438378.62285714,1748
24059,QC,1,7760448.81714286,1436776.73428571,1749
24059,QC,1,7759376.4,1437565.78,1750
24059,QC,1,7755503.88571429,1435565.11142857,1751
